247,287
251,305
248,351
255,601
240,1025
128,1040
129,1041
130,1042
131,1043
132,1044
133,1045
134,1046
135,1047
136,1048
137,1049
138,1050
139,1051
140,1052
141,1053
142,1054
143,1055
144,1056
145,1057
146,1058
147,1059
148,1060
149,1061
150,1062
151,1063
152,1064
153,1065
154,1066
155,1067
156,1068
157,1069
158,1070
159,1071
160,1072
162,1074
163,1075
164,1076
165,1077
166,1078
167,1079
168,1080
169,1081
170,1082
171,1083
172,1084
173,1085
174,1086
175,1087
230,1094
231,1095
232,1096
233,1097
234,1098
235,1099
236,1100
237,1101
238,1102
239,1103
241,1105
192,4304
193,4305
194,4306
195,4307
196,4308
197,4309
198,4310
200,4311
201,4312
202,4313
203,4314
204,4315
205,4316
207,4317
208,4318
209,4319
210,4320
211,4321
212,4322
214,4323
215,4324
216,4325
217,4326
218,4327
219,4328
220,4329
221,4330
222,4331
223,4332
224,4333
161,4334
225,4334
227,4335
228,4336
199,4337
206,4338
213,4339
226,4340
229,4341
